# 中国行政区划代码数据
# 格式：代码|名称|级别 (1=省级, 2=市级)
110000|北京市|1
110100|北京市市辖区|2
120000|天津市|1
120100|天津市市辖区|2
130000|河北省|1
130100|石家庄市|2
130200|唐山市|2
130300|秦皇岛市|2
130400|邯郸市|2
130500|邢台市|2
130600|保定市|2
130700|张家口市|2
130800|承德市|2
130900|沧州市|2
131000|廊坊市|2
131100|衡水市|2
140000|山西省|1
140100|太原市|2
140200|大同市|2
140300|阳泉市|2
140400|长治市|2
140500|晋城市|2
140600|朔州市|2
140700|晋中市|2
140800|运城市|2
140900|忻州市|2
141000|临汾市|2
141100|吕梁市|2
150000|内蒙古自治区|1
150100|呼和浩特市|2
150200|包头市|2
150300|乌海市|2
150400|赤峰市|2
150500|通辽市|2
150600|鄂尔多斯市|2
150700|呼伦贝尔市|2
150800|巴彦淖尔市|2
150900|乌兰察布市|2
210000|辽宁省|1
210100|沈阳市|2
210200|大连市|2
210300|鞍山市|2
210400|抚顺市|2
210500|本溪市|2
210600|丹东市|2
210700|锦州市|2
210800|营口市|2
210900|阜新市|2
211000|辽阳市|2
211100|盘锦市|2
211200|铁岭市|2
211300|朝阳市|2
211400|葫芦岛市|2
220000|吉林省|1
220100|长春市|2
220200|吉林市|2
220300|四平市|2
220400|辽源市|2
220500|通化市|2
220600|白山市|2
220700|松原市|2
220800|白城市|2
222400|延边朝鲜族自治州|2
230000|黑龙江省|1
230100|哈尔滨市|2
230200|齐齐哈尔市|2
230300|鸡西市|2
230400|鹤岗市|2
230500|双鸭山市|2
230600|大庆市|2
230700|伊春市|2
230800|佳木斯市|2
230900|七台河市|2
231000|牡丹江市|2
231100|黑河市|2
231200|绥化市|2
310000|上海市|1
310100|上海市市辖区|2
320000|江苏省|1
320100|南京市|2
320200|无锡市|2
320300|徐州市|2
320400|常州市|2
320500|苏州市|2
320600|南通市|2
320700|连云港市|2
320800|淮安市|2
320900|盐城市|2
321000|扬州市|2
321100|镇江市|2
321200|泰州市|2
321300|宿迁市|2
330000|浙江省|1
330100|杭州市|2
330200|宁波市|2
330300|温州市|2
330400|嘉兴市|2
330500|湖州市|2
330600|绍兴市|2
